Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-01-20 17:27:32,false,"Trysil Löpning","6,70","315","00:38:30","153","188","3,4","107","244","5:45","1:39","83","83","1,62","0,0","2.578","Nej","00:04:18,1","7","00:38:29","00:40:35","418","451"
Löpning,2026-01-18 17:24:37,false,"Trysil Löpning","6,31","206","00:33:17","133","165","2,2","95","241","5:17","3:45","26","26","2,00","0,0","2.846","Nej","00:01:36,4","7","00:32:44","00:35:41","418","444"
Löpning,2026-01-02 17:08:41,false,"Älvdalen Löpning","6,01","324","00:39:17","160","182","3,7","106","238","6:32","2:36","40","40","1,45","0,0","2.414","Nej","00:00:04,5","7","00:38:59","00:42:30","686","728"
Löpning,2025-12-31 14:00:31,false,"Älvdalen Löpning","5,73","333","00:44:31","152","190","3,3","107","219","7:46","2:53","51","51","1,20","0,0","2.078","Nej","00:05:25,0","6","00:42:27","00:51:32","685","728"
Löpning,2025-10-23 13:28:10,false,"Göteborg Löpning","5,36","409","00:44:43","171","196","4,5","159","222","8:20","3:50","41","37","0,75","0,0","6.744","Nej","00:02:34,6","6","00:43:22","00:50:08","3","30"
Löpning,2025-09-28 10:15:06,false,"Göteborg Löpning","6,02","375","00:41:26","--","--","--","165","246","6:53","4:35","43","41","0,88","0,0","6.832","Nej","00:00:05,4","7","00:41:17","00:45:02","3","36"
Löpning,2025-09-21 11:00:41,false,"Eskilstuna Löpning","8,95","576","01:57:31","80","169","1,8","139","250","13:07","5:37","101","113","0,55","0,0","11.780","Nej","00:09:47,8","9","01:51:05","01:57:31","51","102"
Löpning,2025-08-24 11:47:56,false,"Nyköping Löpning","4,83","477","00:54:41","169","188","3,8","138","240","11:19","5:17","69","63","0,64","0,0","6.442","Nej","00:08:56,8","5","00:53:47","00:58:42","38","71"
Cykling,2025-07-13 17:56:36,false,"Göteborg Cykling","12,51","345","00:42:36","150","175","3,3","--","--","17,6","30,6","44","27","--","0,0","--","Nej","00:07:49,5","3","00:36:15","00:44:00","-3","20"
Löpning,2025-06-29 17:41:59,false,"Göteborg Löpning","2,22","130","00:16:11","148","192","2,5","160","240","7:17","5:32","40","10","0,86","0,0","2.556","Nej","00:01:48,9","3","00:16:10","00:16:51","5","52"
Löpning,2025-05-21 17:40:38,false,"Löpning","3,20","198","00:21:36","162","177","3,3","165","175","6:45","6:24","--","--","0,90","0,0","3.558","Nej","00:01:18,6","4","00:21:32","00:22:45","--","--"
Löpning,2025-05-04 10:30:24,false,"Göteborg Löpning","12,11","771","01:22:48","171","187","5,0","166","180","6:50","4:33","136","134","0,88","0,0","13.728","Nej","00:00:39,9","13","01:22:35","01:35:55","4","97"
Löpning,2025-04-19 09:37:16,false,"Cannes Löpning","3,79","212","00:25:50","151","174","3,2","163","181","6:48","5:41","31","27","0,90","0,0","4.180","Nej","00:05:27,5","4","00:25:45","00:28:59","-51","14"
Löpning,2025-04-13 14:54:31,false,"Göteborg Löpning","5,09","325","00:34:35","171","194","4,1","163","173","6:48","6:05","20","28","0,90","0,0","5.632","Nej","00:00:32,6","6","00:34:34","00:36:24","3","32"
Löpband,2025-03-28 10:39:11,false,"Löpband","0,00","--","00:00:25,0","74","78","1,0","--","--","--","--","--","--","--","0,0","--","Nej","00:00:01,6","4","00:00:00","00:00:25,0","--","--"
Löpband,2025-03-28 10:37:19,false,"Löpband","0,00","--","00:00:42,6","78","87","1,0","--","--","--","--","--","--","--","0,0","--","Nej","00:00:03,9","4","00:00:00","00:00:42,6","--","--"
Löpband,2025-03-28 10:35:06,false,"Löpband","0,00","--","00:00:18,9","83","83","1,0","--","--","--","--","--","--","--","0,0","--","Nej","00:00:07,1","2","00:00:00","00:00:18,9","--","--"
Löpband,2025-03-28 10:32:33,false,"Löpband","0,00","--","00:00:03,4","100","100","1,0","--","--","--","--","--","--","--","0,0","--","Nej","00:00:03,4","1","00:00:00","00:00:03,4","--","--"
Löpband,2025-03-27 10:39:34,false,"Löpband","0,00","--","00:00:31,0","88","92","1,0","--","--","--","--","--","--","--","0,0","--","Nej","00:00:05,3","4","00:00:00","00:00:31,0","--","--"
Cykling,2025-03-25 10:07:01,false,"Göteborg Cykling","0,19","4","00:01:02,8","105","133","1,0","--","--","10,9","14,6","--","6","--","0,0","--","Nej","00:01:02,8","1","00:00:56","00:01:02,8","50","56"
