Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GAP;Avg Run Cadence;Max Run Cadence;Normalized Power® (NP®);L/R Balance;Training Stress Score®;Max Avg Power (20 min);Avg Power;Max Power;Total Strokes;Steps;Body Battery Drain;Decompression;Best Lap Time;Number of Laps;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;2026-03-10 07:13;FALSE;Kungsbacka - Threshold;8.86;616;00:42:02;152;179;3.9;167;184;04:45;03:39;84;72;1.26;7.9;9.8;257;04:41;--;--;401;--;0.0;--;384;586;--;6,97;-15;No;00:00:02.0;13;--;--;--;00:41:57;00:42:09;10;39
Treadmill Running;2026-03-09 16:10;FALSE;Recovery;3.45;183;00:22:02;114;125;0.9;152;167;06:23;04:48;--;--;1.27;8.5;10.8;291;--;--;--;340;--;0.0;--;335;382;--;3,304;-3;No;00:00:01.9;6;--;--;--;00:21:33;00:22:52;--;--
Running;2026-03-08 14:29;FALSE;Kungsbacka - Base;9.02;627;00:46:27;140;157;3.2;162;179;05:09;04:32;76;72;1.20;8.3;9.9;271;05:07;--;--;365;--;0.0;--;359;555;--;7,52;-14;No;00:01:46.8;10;--;--;--;00:46:25;00:46:27;3;38
Running;2026-03-07 08:19;FALSE;Kungsbacka - Base;7.64;522;00:40:03;136;155;3.0;165;176;05:14;04:44;64;62;1.16;8.3;9.6;267;05:12;--;--;355;--;0.0;--;347;502;--;6,598;-13;No;00:00:02.7;9;--;--;--;00:39:58;00:40:13;6;38
Running;2026-03-06 14:52;FALSE;Kungsbacka - Threshold;8.04;562;00:38:04;157;180;3.9;164;180;04:44;03:19;81;83;1.28;7.9;10.0;259;04:41;--;--;401;--;0.0;--;383;631;--;6,256;-11;No;00:00:04.2;10;--;--;--;00:37:59;00:39:13;12;40
Running;2026-03-04 16:44;FALSE;Kungsbacka - Base;10.13;685;00:53:03;140;164;3.3;161;172;05:14;04:44;73;70;1.19;8.4;10.0;274;05:13;--;--;348;--;0.0;--;344;465;--;8,504;-12;No;00:00:02.7;12;--;--;--;00:52:59;00:53:58;5;37
Treadmill Running;2026-03-03 19:52;FALSE;Sprint;8.26;500;00:44:13;136;162;2.8;157;197;05:21;03:26;--;--;1.21;8.5;10.2;280;--;--;--;323;--;0.0;--;319;489;--;6,892;-9;No;00:00:03.3;19;--;--;--;00:43:36;00:45:18;--;--
Treadmill Running;2026-03-01 12:41;FALSE;Base;8.05;447;00:42:49;131;144;2.3;159;167;05:19;04:49;--;--;1.19;8.5;10.2;279;--;--;--;323;--;0.0;--;319;373;--;6,776;-7;No;00:02:38.7;9;--;--;--;00:42:27;00:42:49;--;--
Running;2026-02-28 08:10;FALSE;Kungsbacka - Base;7.62;530;00:40:02;142;163;3.2;163;175;05:15;04:44;67;62;1.16;8.4;9.8;271;05:14;--;--;350;--;0.0;--;343;487;--;6,518;-14;No;00:00:02.1;9;--;--;--;00:40:00;00:40:02;7;37
Virtual Cycling;2026-02-27 17:33;FALSE;Zwift - Strength Endurance   REV for :15 seconds;18.08;389;00:43:42;120;146;2.2;--;--;24.8;77.7;305;--;--;--;--;--;--;69;117;169;--;0.0;179;155;332;--;--;--;No;00:00:15;18;--;--;--;00:43:36;00:44:32;57;185
