Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Medelvärde GAP,Medelcykelkadens,Maximal cykelkadens,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Steg,Totalt antal repetitioner,Totalt antal set,Urladdning av Body Battery,Minsta temperatur,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Badminton,2026-03-08 16:48:10,false,"Badminton","0.66","483","01:46:18","84","119","0.2","19","225","0.4","14.4","--","--","0.34","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","4,988","--","--","-6","--","Nej","01:46:18","1","--","--","--","--","00:08:15","01:46:18","--","--"
Gym- och träningsredskap,2026-03-08 14:21:00,false,"30:00 SkiErg","6.18","364","00:30:00","108","126","1.3","96","266","12.4","40.9","--","--","2.12","--","--","--","--","--","--","--","169","0.0","114","4,109","--","--","--","2,918","--","--","--","--","Nej","00:06:00","5","--","--","--","--","00:29:50","00:30:00","--","--"
Terränglöpning,2026-03-07 07:34:48,false,"Ale Terränglöpning","22.82","1,906","02:39:14","132","156","3.9","158","210","6:59","4:44","504","498","0.91","10.4","9.6","300","49.7% vänster/50.3% höger","6:41","--","--","334","0.0","317","586","--","--","--","24,728","--","--","-31","--","Nej","02:39:14","1","--","33","25","43","02:38:23","02:39:14","66","145"
Styrketräning,2026-03-06 06:26:25,false,"Styrka","0.00","399","01:03:30","96","145","1.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","270","135","1","-10","--","Nej","01:03:30","1","--","--","--","--","01:03:30","01:03:30","--","--"
Gym- och träningsredskap,2026-03-05 20:40:27,false,"23:32 SkiErg","1.73","159","00:23:32","79","113","0.3","32","310","4.4","14.5","--","--","1.15","--","--","--","--","--","--","--","135","0.0","5","181","--","--","--","764","--","--","--","--","Nej","00:05:32.4","4","--","--","--","--","00:14:05","00:23:32","--","--"
Terränglöpning,2026-03-04 16:25:51,false,"Ale Terränglöpning","9.50","809","01:10:49","121","155","3.0","134","195","7:27","5:00","248","243","0.98","8.9","8.7","285","--","6:56","--","--","327","0.0","272","536","--","--","--","9,990","--","--","-11","--","Nej","01:10:49","1","--","--","--","--","01:03:51","01:10:49","59","128"
Längdskidåkning klassisk stil,2026-03-01 07:56:35,false,"Malung-Sälen Längdskidåkning klassisk stil","92.00","3,623","05:56:11","141","168","5.0","--","--","15.5","45.1","1,098","1,282","--","--","--","--","--","--","--","--","172","1,202.7","160","550","--","--","--","32,124","--","--","-34","8.0","Nej","05:56:11","1","14.0","38","20","55","05:54:33","05:59:28","164","526"
Gym- och träningsredskap,2026-02-27 16:16:00,false,"30:00 SkiErg","6.34","365","00:30:00","120","134","2.1","102","268","12.7","15.2","--","--","2.07","--","--","--","--","--","--","--","143","0.0","122","209","--","--","--","3,068","--","--","--","--","Nej","00:06:00","5","--","--","--","--","00:29:59","00:30:00","--","--"
Styrketräning,2026-02-27 06:39:50,false,"Styrka","0.00","180","00:31:57","88","134","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","104","52","1","-4","--","Nej","00:31:57","1","--","--","--","--","00:31:57","00:31:57","--","--"
Terränglöpning,2026-02-25 11:11:25,false,"Göteborg Terränglöpning","8.07","665","00:43:52","146","164","3.7","161","172","5:26","4:24","118","122","1.15","8.4","9.6","270","--","5:16","--","--","390","0.0","376","609","--","--","--","7,134","--","--","-9","--","Nej","00:43:52","1","--","--","--","--","00:43:12","00:43:52","36","90"
