Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelvärde GAP,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Steg,Urladdning av Body Battery,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-02-18 18:11:43,false,"Göteborg Löpning","5.43","419","00:33:52","169","193","3.4","156","226","6:14","4:08","81","87","1.02","8.8","8.9","286","6:09","304","0.0","284","480","5,254","-7","Nej","00:00:55.9","10","00:33:51","00:33:52","37","70"
Löpning,2026-02-10 15:45:23,false,"Göteborg - Bas","5.33","455","00:38:48","168","185","3.1","144","176","7:17","4:55","78","102","0.94","9.1","8.6","291","7:04","262","0.0","242","404","5,630","-7","Nej","00:01:10.0","7","00:36:44","00:38:52","14","70"
Löpband,2026-02-04 15:03:28,false,"Bas","3.53","241","00:21:11","154","170","2.7","156","177","6:00","4:50","--","--","1.05","8.8","9.2","276","--","286","0.0","264","357","3,340","-5","Nej","00:01:56.7","4","00:19:16","00:21:11","--","--"
Löpning,2026-01-28 16:08:41,false,"Göteborg - Bas","7.28","564","00:47:10","169","184","3.4","163","181","6:29","3:29","39","86","0.94","9.2","8.6","281","6:31","273","0.0","267","419","7,738","-10","Nej","00:00:09.7","9","00:47:03","00:47:10","-2","66"
Löpband,2026-01-26 17:00:51,false,"Tröskel","3.89","290","00:22:32","171","193","3.3","149","179","5:48","4:29","--","--","1.17","8.1","9.3","259","--","324","0.0","288","396","3,340","-4","Nej","00:03:08.8","5","00:19:42","00:22:32","--","--"
Löpning,2026-01-23 16:42:21,false,"Göteborg Löpning","5.82","456","00:39:39","163","181","3.1","160","176","6:48","5:07","82","99","0.92","9.4","8.6","288","6:41","278","0.0","267","426","6,366","-10","Nej","00:05:38.6","6","00:39:19","00:41:07","34","71"
Löpning,2026-01-21 18:06:49,false,"Göteborg Löpning","5.68","505","00:41:09","169","190","3.5","120","202","7:14","2:30","58","65","1.12","8.2","8.9","260","7:07","320","0.0","239","641","5,112","-8","Nej","00:00:09.5","21","00:30:12","00:41:09","35","80"
Löpning,2026-01-20 15:48:15,false,"Göteborg - Bas","6.89","509","00:44:43","156","177","3.1","152","179","6:29","4:28","52","92","1.00","9.1","9.1","284","6:28","282","0.0","268","417","6,904","-12","Nej","00:00:43.3","8","00:43:11","00:44:43","-0","64"
Löpband,2026-01-15 15:04:10,false,"Bas","5.20","392","00:30:12","168","178","3.4","162","176","5:48","4:46","--","--","1.08","8.7","9.3","274","--","301","0.0","291","364","4,924","-8","Nej","00:00:11.7","7","00:29:18","00:30:12","--","--"
Löpband,2026-01-11 16:59:36,false,"Löpband","11.35","855","01:11:48","167","187","4.2","134","176","6:20","4:27","--","--","1.24","7.8","9.6","256","--","329","0.0","268","396","9,450","-14","Nej","00:00:00.4","17","00:55:03","01:11:48","--","--"
