Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Genomsnittlig skidkadens,Maximal skidkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Totalt antal repetitioner,Totalt antal set,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Längdskidåkning klassisk stil,2026-03-29 08:53:06,false,"Älvdalen Längdskidåkning klassisk stil","4.87","350","00:38:15","155","183","--","--","7.6","27.8","73","110","--","0.0","--","--","--","Nej","00:38:15","1","00:32:28","00:40:09","738","800"
Löpning,2026-03-20 14:09:46,false,"Göteborg Löpning","9.64","649","01:00:08","180","195","169","209","6:14","2:35","85","77","0.95","0.0","10,162","--","--","Nej","00:03:18.3","10","01:00:06","01:00:08","53","74"
Löpning,2026-03-08 11:21:27,false,"Göteborg Löpning","4.80","267","00:28:12","162","195","169","182","5:52","0:49","103","42","1.01","0.0","4,786","--","--","Nej","00:00:03.6","10","00:27:42","00:34:21","46","60"
Löpning,2026-03-06 14:41:42,false,"Göteborg Löpning","8.63","613","00:57:40","180","196","167","181","6:41","3:50","150","142","0.90","0.0","9,676","--","--","Nej","00:03:01.2","9","00:57:21","01:00:38","7","106"
Löpning,2026-03-01 14:25:17,false,"Göteborg Löpning","6.12","403","00:37:10","180","194","168","181","6:04","4:31","60","111","0.98","0.0","6,304","--","--","Nej","00:00:32.3","7","00:36:38","00:37:10","-1","104"
Löpning,2026-01-31 10:30:11,false,"Göteborg Löpning","12.67","891","01:18:49","187","198","171","183","6:13","4:07","97","102","0.94","0.0","13,498","--","--","Nej","00:01:21.2","14","01:17:52","01:19:23","-33","27"
Löpning,2025-12-27 11:11:43,false,"Västerås Löpning","1.66","172","00:18:08","163","193","71","238","10:55","2:43","7","8","1.29","0.0","1,792","--","--","Nej","00:08:20.7","2","00:10:21","00:18:08","6","13"
Löpning,2025-12-10 17:18:28,false,"Löpning","4.03","319","00:27:50","184","199","136","248","6:55","2:15","49","46","1.07","0.0","4,166","--","--","Nej","00:00:22.5","5","00:22:08","00:27:50","-90","-64"
Löpning,2025-12-06 13:49:15,false,"Göteborg Löpning","8.38","600","00:53:59","184","196","167","183","6:27","4:19","72","65","0.93","0.0","9,086","--","--","Nej","00:02:10.3","9","00:52:35","00:53:59","6","68"
Löpning,2025-11-26 18:41:15,false,"Göteborg Löpning","5.60","337","00:35:18","164","195","148","247","6:19","3:33","83","37","1.08","0.0","5,544","--","--","Nej","00:03:26.3","6","00:35:06","00:40:54","11","73"
Löpning,2025-10-29 16:50:32,false,"Göteborg Löpning","5.66","382","00:33:16","187","198","170","179","5:53","4:27","59","59","1.00","0.0","5,664","--","--","Nej","00:03:49.7","6","00:33:04","00:33:16","-8","53"
Löpning,2025-09-06 21:09:11,false,"Göteborg Löpning","8.01","528","00:52:09","172","189","167","243","6:31","1:20","74","86","0.92","0.0","8,738","--","--","Nej","00:00:01.6","9","00:51:25","00:56:29","11","66"
Löpning,2025-09-06 20:38:01,false,"Göteborg Löpning","4.61","288","00:27:57","171","182","167","175","6:04","4:50","72","59","0.99","0.0","4,686","--","--","Nej","00:03:37.1","5","00:27:40","00:27:57","11","71"
Löpning,2025-09-03 08:11:30,false,"Göteborg Löpning","5.60","365","00:33:20","179","190","166","177","5:57","4:15","60","54","1.01","0.0","5,546","--","--","Nej","00:02:56.8","6","00:32:15","00:33:20","6","65"
Löpning,2025-08-31 09:31:48,false,"Göteborg Löpning","11.61","815","01:12:29","185","194","166","183","6:15","4:36","98","103","0.96","0.0","12,166","--","--","Nej","00:03:20.8","12","01:10:17","01:12:29","-12","44"
Löpning,2025-08-28 09:37:38,false,"Göteborg Löpning","10.20","688","01:01:49","183","193","172","179","6:04","4:40","82","78","0.96","0.0","10,602","--","--","Nej","00:00:58.7","11","01:01:32","01:01:49","6","69"
Löpning,2025-08-25 08:10:28,false,"Göteborg Löpning","5.54","340","00:31:21","178","194","169","181","5:39","4:53","57","55","1.04","0.0","5,334","--","--","Nej","00:02:38.5","6","00:30:53","00:31:21","11","69"
Löpning,2025-08-22 09:51:57,false,"Göteborg Löpning","13.32","891","01:32:56","174","192","167","216","6:59","3:24","217","223","0.86","0.0","15,634","--","--","Nej","00:02:24.6","14","01:32:07","01:33:28","-3","98"
Löpning,2025-08-20 07:09:41,false,"Göteborg Löpning","5.48","333","00:31:41","174","188","168","179","5:47","4:21","64","60","1.03","0.0","5,394","--","--","Nej","00:02:35.0","6","00:31:05","00:31:41","11","73"
Löpning,2025-08-18 09:42:33,false,"Göteborg Löpning","5.60","361","00:33:14","178","191","170","180","5:56","5:00","58","60","0.99","0.0","5,706","--","--","Nej","00:03:28.1","6","00:32:40","00:33:14","4","63"
Löpning,2025-08-15 20:08:00,false,"Göteborg Löpning","6.78","430","00:39:26","177","195","168","181","5:49","4:25","55","57","1.01","0.0","6,696","--","--","Nej","00:04:11.5","7","00:39:15","00:39:26","-10","46"
Löpning,2025-08-13 15:21:02,false,"Göteborg Löpning","6.33","469","00:42:22","180","196","165","177","6:42","4:22","108","105","0.90","0.0","6,998","--","--","Nej","00:01:55.6","7","00:42:06","00:42:22","-8","69"
Löpning,2025-08-12 09:45:25,false,"Göteborg Löpning","5.45","377","00:31:46","188","197","171","240","5:50","4:51","56","58","1.00","0.0","5,436","--","--","Nej","00:02:43.5","6","00:31:26","00:31:46","-7","53"
Löpning,2025-08-03 14:39:59,false,"Västerås Löpning","3.61","261","00:21:46","189","200","167","173","6:01","5:01","9","22","0.99","0.0","3,646","--","--","Nej","00:03:56.0","4","00:21:37","00:21:46","18","26"
Löpning,2025-08-03 13:48:46,false,"Löpning","1.00","97","00:08:43.5","176","190","163","173","8:43","6:31","4","7","0.70","0.0","1,456","--","--","Nej","00:08:43.5","1","00:08:31","00:08:43.5","38","44"
Gång,2025-07-24 10:51:06,false,"Åre Gång","8.92","943","04:25:33","110","174","44","250","29:46","8:23","158","964","0.80","0.0","15,260","--","--","Nej","00:13:34","9","02:12:18","04:25:33","435","1,385"
Gång,2025-07-19 16:45:50,false,"Rauma Gång","3.78","473","01:32:10","127","154","54","239","24:24","8:19","14","907","0.76","0.0","6,784","--","--","Nej","00:13:15","4","00:57:00","01:32:10","-234","448"
Gång,2025-07-19 13:27:38,false,"Rauma Gång","3.67","867","02:26:49","136","179","42","244","39:58","1:42","674","229","0.65","0.0","7,844","--","--","Nej","00:12:46","4","00:57:31","02:26:49","7","675"
Gång,2025-07-17 08:05:46,false,"Lom Gång","12.48","2,936","09:01:33","139","188","31","241","43:24","3:59","1,354","1,392","0.82","0.0","23,704","--","--","Nej","00:08:12.6","14","03:25:12","09:06:20","1,055","2,371"
Löpning,2025-07-14 20:13:47,false,"Oslo Löpning","3.44","259","00:29:05","161","192","128","209","8:27","5:23","41","25","0.91","0.0","3,948","--","--","Nej","00:05:58.8","4","00:25:56","00:29:05","-11","27"
