Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-03-22 16:19:29,false,"Västerås - Base","6.58","410","00:34:25","164","180","4.3","158","171","5:14","4:05","54","62","1.21","0.0","5,490","Nej","00:00:24.7","2","00:34:25","00:34:25","-2","43"
Löpning,2026-03-15 17:23:01,false,"Västerås - Base","6.53","424","00:34:45","170","184","4.4","157","171","5:19","4:19","48","46","1.19","0.0","5,508","Nej","00:00:45.0","2","00:34:45","00:34:45","8","43"
Löpning,2026-03-04 16:12:50,false,"Västerås Löpning","6.50","423","00:32:48","167","183","4.8","159","168","5:03","4:07","36","36","1.24","0.0","5,222","Nej","00:32:48","1","00:32:47","00:32:48","19","40"
Löpning,2026-02-28 18:40:33,false,"Västerås - Base","6.48","433","00:34:34","164","187","4.6","158","166","5:20","4:46","11","12","1.19","0.0","5,450","Nej","00:00:33.7","2","00:34:33","00:34:34","19","31"
Löpning,2026-02-01 14:52:12,false,"Västerås Löpning","7.19","646","01:39:43","121","176","3.4","25","217","13:52","2:46","59","65","2.88","0.0","7,022","Nej","01:39:43","1","00:52:52","01:39:43","31","62"
Löpning,2025-12-27 10:15:35,false,"Löpning","7.60","495","00:42:20","157","175","4.2","158","164","5:34","5:05","148","142","1.13","0.0","6,700","Nej","00:42:20","1","00:42:07","00:42:20","--","33"
Löpning,2025-12-23 17:02:06,false,"Base","6.76","390","00:34:45","157","177","3.8","160","166","5:08","4:46","73","70","1.22","0.0","5,548","Nej","00:00:44.8","2","00:34:44","00:34:45","19","49"
Löpning,2025-11-23 15:35:03,false,"Löpning","2.94","165","00:15:08","150","172","2.7","160","164","5:09","4:50","--","--","1.22","0.0","2,410","Nej","00:15:08","1","00:15:08","00:15:08","--","--"
Löpning,2025-11-16 16:00:19,false,"Löpning","2.87","152","00:14:50","143","157","2.3","159","164","5:10","4:42","--","--","1.22","0.0","2,370","Nej","00:14:50","1","00:14:49","00:14:50","--","--"
Löpning,2025-10-31 16:47:14,false,"Västerås - Base","6.55","399","00:33:35","160","178","4.0","158","164","5:08","4:12","23","12","1.23","0.0","5,312","Nej","00:33:35","1","00:33:29","00:33:35","9","24"
Löpning,2025-10-16 18:40:21,false,"Västerås Löpning","10.69","690","00:52:42","172","186","5.0","161","191","4:56","3:55","83","95","1.26","0.0","8,492","Nej","00:52:42","1","00:52:42","00:52:42","21","82"
Löpning,2025-10-12 17:14:46,false,"Västerås Löpning","7.16","487","00:41:11","148","186","4.2","158","172","5:45","4:12","54","59","1.10","0.0","6,524","Nej","00:41:11","1","00:41:10","00:41:11","21","52"
Löpning,2025-10-08 17:24:53,false,"Västerås Löpning","10.95","724","00:58:02","172","183","5.0","159","173","5:18","4:01","118","138","1.18","0.0","9,230","Nej","00:58:02","1","00:57:55","00:58:02","-6","72"
Löpning,2025-09-28 16:28:21,false,"Västerås Löpning","8.04","544","00:43:04","167","186","5.0","161","175","5:21","3:49","81","81","1.16","0.0","6,932","Nej","00:43:04","1","00:43:04","00:43:53","21","52"
Löpning,2025-09-26 17:31:03,false,"Västerås Löpning","9.03","572","00:46:29","165","181","4.9","160","177","5:09","4:00","39","25","1.21","0.0","7,428","Nej","00:16:22","2","00:46:29","00:46:29","7","27"
Löpning,2025-09-14 17:00:37,false,"Västerås Löpning","9.41","620","00:49:57","164","177","4.6","160","181","5:19","4:25","92","93","1.18","0.0","7,994","Nej","00:49:57","1","00:49:52","00:51:00","9","57"
Löpning,2025-09-07 19:23:52,false,"Västerås Löpning","7.98","560","00:47:53","156","180","3.9","156","168","6:00","4:18","85","86","1.07","0.0","7,474","Nej","00:47:53","1","00:47:51","00:48:07","21","52"
Löpning,2025-09-05 17:23:35,false,"Västerås Löpning","7.64","503","00:38:17","168","183","4.8","160","177","5:01","3:53","36","37","1.24","0.0","6,142","Nej","00:38:17","1","00:38:17","00:38:17","7","28"
Löpning,2025-09-03 17:49:55,false,"Västerås Löpning","6.12","387","00:29:31","171","184","4.3","161","169","4:49","4:07","29","32","1.29","0.0","4,750","Nej","00:29:31","1","00:29:29","00:29:31","9","27"
Löpning,2025-08-31 15:25:17,false,"Västerås Löpning","6.57","417","00:33:05","166","177","4.1","160","166","5:02","4:37","31","31","1.24","0.0","5,294","Nej","00:33:05","1","00:33:05","00:33:05","9","27"
Löpning,2025-08-27 18:00:27,false,"Västerås Löpning","9.96","641","00:48:13","181","189","5.0","162","237","4:51","3:59","90","92","1.28","0.0","7,788","Nej","00:48:13","1","00:48:13","00:48:13","8","46"
Löpning,2025-08-24 19:54:11,false,"Västerås Löpning","8.52","540","00:42:59","165","178","4.5","161","175","5:03","4:01","54","58","1.23","0.0","6,914","Nej","00:42:59","1","00:42:58","00:44:18","3","38"
