Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Minsta temperatur,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-03-18 18:04:11,false,"Kungälv Löpning","11.15","826","01:06:48","126","158","3.2","140","245","5:59","3:31","248","247","1.20","--","--","--","--","0.0","9,408","16.0","Nej","00:00:10.6","31","28.0","--","--","--","01:00:20","01:06:48","6","57"
Löpning,2026-03-16 19:02:14,false,"Kungälv - 60 min löppning","11.26","847","00:55:14","140","174","3.8","161","177","4:54","3:40","93","96","1.26","--","--","--","--","0.0","8,898","13.0","Nej","00:02:00","13","26.0","--","--","--","00:55:08","00:55:14","20","87"
Löpning,2026-03-16 12:04:10,false,"Kungälv - Bas","7.54","567","00:36:09","139","163","3.5","158","170","4:48","3:55","66","65","1.32","--","--","--","--","0.0","5,716","9.0","Nej","00:00:41.0","9","28.0","--","--","--","00:35:19","00:36:09","5","37"
Löpning,2026-03-14 12:41:04,false,"Kungälv Löpning","20.76","1,573","01:45:22","147","171","4.7","155","177","5:05","4:00","191","190","1.27","--","--","--","--","0.0","16,354","16.0","Nej","00:04:21.7","21","28.0","--","--","--","01:44:18","01:45:22","20","62"
Löpning,2026-03-12 12:05:17,false,"Kungälv - Bas","5.58","411","00:27:19","138","148","3.1","162","169","4:54","3:53","58","52","1.26","--","--","--","--","0.0","4,420","15.0","Nej","00:02:50.7","6","28.0","--","--","--","00:27:16","00:27:19","6","37"
Löpning,2026-03-11 18:16:44,false,"Kungälv Löpning","8.55","658","00:50:40","133","178","3.4","142","178","5:55","3:31","80","85","1.16","--","--","--","--","0.0","7,402","12.0","Nej","00:00:13.0","12","22.0","--","--","--","00:46:43","00:50:40","36","70"
Löpning,2026-03-09 16:27:14,false,"Kungälv - Tröskel 3 x 8 min","9.32","695","00:42:04","154","170","4.1","163","182","4:31","3:35","66","66","1.36","--","--","--","--","0.0","6,804","17.0","Nej","00:00:45.9","12","29.0","--","--","--","00:41:48","00:42:04","20","60"
Löpning,2026-03-09 12:04:01,false,"Kungälv - Bas","5.58","431","00:27:46","144","156","3.3","160","172","4:59","3:54","45","49","1.26","--","--","--","--","0.0","4,432","19.0","Nej","00:02:52.6","6","29.0","--","--","--","00:27:46","00:27:46","8","38"
Löpning,2026-02-28 08:36:13,false,"Kungälv Löpning","19.70","1,517","02:00:49","125","159","3.7","152","167","6:08","4:39","196","191","1.07","--","--","--","--","0.0","18,552","12.0","Nej","00:04:12.0","20","30.0","--","--","--","01:57:01","02:00:49","6","87"
Löpning,2026-02-25 18:07:26,false,"Kungälv Löpning","13.33","1,029","01:10:57","139","176","4.4","137","178","5:19","3:05","95","87","1.37","--","--","--","--","0.0","10,016","8.0","Nej","00:01:00.2","21","28.0","--","--","--","01:03:18","01:10:57","4","48"
