Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelvärde GAP,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Steg,Urladdning av Body Battery,Dekompression,Bästa varvtid,Antal varv,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-03-04 18:10:43,false,"Göteborg Löpning","11.30","1,123","01:32:56","149","175","3.6","108","250","8:14","3:25","562","541","1.02","9.4","9.4","324","7:18","281","0.0","204","593","--","--","--","11,590","-20","Nej","00:13:33","2","--","--","--","01:20:49","01:37:29","43","133"
Löpning,2026-03-03 18:08:58,false,"Göteborg Löpning","13.53","968","01:14:43","150","189","3.6","137","243","5:31","2:50","249","254","1.30","8.2","10.4","271","5:16","367","0.0","303","604","--","--","--","10,740","-14","Nej","00:00:58.1","12","--","--","--","01:06:26","01:14:43","50","119"
Löpning,2026-03-02 16:05:15,false,"Göteborg Löpning","10.46","740","00:59:35","139","161","3.0","153","222","5:42","3:27","284","264","1.14","8.7","9.8","281","5:26","332","0.0","302","555","--","--","--","9,250","-11","Nej","00:59:35","1","--","--","--","00:57:39","00:59:35","20","102"
Löpning,2026-03-01 12:09:29,false,"Kristianstad Löpning","1.89","131","00:10:34","139","146","1.5","162","182","5:35","4:47","92","53","1.11","8.7","9.7","277","5:12","411","0.0","355","741","--","--","--","1,716","--","Nej","00:10:34","1","--","--","--","00:10:33","00:10:34","-5","50"
Löpning,2026-03-01 10:19:53,false,"Kristianstad Löpning","18.07","1,402","01:36:41","166","183","4.8","148","194","5:21","2:38","472","456","1.27","8.3","10.3","275","5:09","355","0.0","314","660","--","--","--","14,794","-22","Nej","00:21:07","2","--","--","--","01:30:56","01:36:41","-54","20"
Löpning,2026-02-28 11:18:00,false,"Kristianstad Löpning","9.93","760","01:04:23","146","183","3.3","128","231","6:29","3:09","207","228","1.14","8.9","9.7","285","6:18","303","0.0","238","560","--","--","--","8,858","-12","Nej","00:17:59","2","--","--","--","00:57:52","01:04:23","-51","32"
Löpning,2026-02-27 19:33:07,false,"Markaryd Löpning","8.28","581","00:49:20","137","190","2.6","145","195","5:57","2:31","133","124","1.15","8.7","9.9","280","5:47","319","0.0","276","758","--","--","--","7,204","-8","Nej","00:01:04.8","3","--","--","--","00:45:10","00:49:30","76","123"
Löpning,2026-02-25 18:03:34,false,"Göteborg Löpning","9.70","663","01:07:59","122","157","2.3","133","175","7:01","3:37","213","173","1.06","9.0","9.4","283","6:43","298","0.0","245","474","--","--","--","9,280","-10","Nej","01:07:59","1","--","--","--","00:57:38","01:07:59","16","71"
Löpning,2026-02-24 18:07:42,false,"Göteborg Löpning","12.38","851","01:02:49","151","190","3.9","149","207","5:04","3:06","121","96","1.30","7.7","9.4","248","4:57","383","0.0","313","592","--","--","--","9,658","-12","Nej","00:00:56.5","19","--","--","--","00:59:25","01:02:49","14","50"
Löpning,2026-02-23 16:19:26,false,"Göteborg Löpning","9.04","626","00:52:21","133","170","2.6","153","178","5:48","3:53","214","178","1.14","8.7","9.8","278","5:26","323","0.0","297","541","--","--","--","8,110","-9","Nej","00:52:21","1","--","--","--","00:49:50","00:52:21","-23","58"
Löpning,2026-02-22 19:35:23,false,"Mölndal Löpning","16.57","1,184","01:46:15","136","177","3.3","142","182","6:25","3:09","492","498","1.10","9.2","10.0","296","5:59","317","0.0","279","629","--","--","--","15,134","-17","Nej","01:46:15","1","--","--","--","01:38:11","01:46:15","-55","102"
Löpning,2026-02-21 11:03:54,false,"Kungälv Löpning","10.51","976","01:36:37","143","165","3.1","118","227","9:12","3:48","395","350","0.87","10.2","8.5","348","8:23","249","0.0","181","584","--","--","--","12,696","-19","Nej","00:07:17.3","2","--","--","--","01:29:02","01:36:37","-3","88"
Löpning,2026-02-20 19:47:48,false,"Mölndal Löpning","11.40","816","01:04:22","145","182","3.1","156","179","5:39","3:56","329","297","1.14","9.1","10.2","292","5:16","356","0.0","318","804","--","--","--","10,066","-10","Nej","01:04:22","1","--","--","--","01:04:21","01:04:22","-16","103"
Löpning,2026-02-19 18:21:54,false,"Partille Löpning","10.52","1,073","01:16:39","166","190","4.1","127","233","7:17","3:08","417","401","0.99","9.7","9.3","309","6:41","284","0.0","226","580","--","--","--","10,856","-12","Nej","00:08:15.6","2","--","--","--","01:10:24","01:16:39","11","133"
Löpning,2026-02-18 18:12:17,false,"Göteborg Löpning","7.11","695","01:07:50","141","188","3.1","104","250","9:32","3:45","408","400","0.88","10.1","8.5","328","8:09","256","0.0","174","539","--","--","--","8,828","-10","Nej","01:07:50","1","--","--","--","00:59:26","01:07:50","35","101"
Löpning,2026-02-16 17:21:59,false,"Göteborg Löpning","11.94","843","01:11:08","139","186","3.0","154","182","5:57","3:32","383","316","1.09","9.1","9.7","288","5:26","337","0.0","306","700","--","--","--","11,156","-12","Nej","01:11:08","1","--","--","--","01:10:00","01:11:08","5","130"
Löpning,2026-02-15 10:18:57,false,"Mölndal Löpning","11.88","1,077","01:15:18","164","190","4.2","136","185","6:20","2:51","429","444","1.10","9.0","9.5","292","5:48","343","0.0","260","779","--","--","--","11,304","-19","Nej","00:07:42.9","3","--","--","--","01:11:07","01:15:24","-42","118"
Löpning,2026-02-14 14:51:24,false,"Mölndal Löpning","12.73","922","01:29:49","127","170","2.8","144","187","7:03","3:51","363","331","0.98","9.4","9.0","292","6:33","290","0.0","247","551","--","--","--","13,226","-9","Nej","01:29:49","1","--","--","--","01:23:14","01:29:49","-16","110"
Löpning,2026-02-13 15:27:11,false,"Mölndal Löpning","6.02","418","00:32:35","142","166","2.6","161","201","5:25","3:36","225","170","1.17","8.8","10.0","280","4:47","381","0.0","350","684","--","--","--","5,246","-6","Nej","00:32:35","1","--","--","--","00:32:35","00:32:35","-33","113"
Crosstrainer,2026-02-12 19:57:04,false,"Crosstrainer","0.00","663","01:00:01","147","188","3.3","101","240","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","6,136","-9","Nej","00:00:59.8","17","--","--","--","00:00:00","01:00:01","--","--"
Löpning,2026-02-11 17:23:40,false,"Göteborg Löpning","7.32","554","00:54:19","130","189","2.8","112","194","7:25","2:48","203","175","1.19","8.5","9.6","271","6:55","344","0.0","237","658","--","--","--","6,528","-10","Nej","00:11:41","2","--","--","--","00:39:40","00:54:19","-8","59"
Crosstrainer,2026-02-09 19:10:54,false,"Crosstrainer","0.00","371","00:43:03","122","155","1.4","124","150","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","5,396","-4","Nej","00:43:03","1","--","--","--","00:00:00","00:43:03","--","--"
Crosstrainer,2026-02-08 18:23:42,false,"Crosstrainer","0.00","923","01:10:53","157","177","4.0","132","166","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","9,562","-10","Nej","01:10:53","1","--","--","--","00:00:00","01:10:53","--","--"
Simbassäng,2026-02-07 13:38:07,false,"Simbassäng","2,350","747","01:03:21","146","185","3.4","--","--","1:51","0:31","--","--","--","--","--","--","--","--","0.0","--","--","1436","86","33","--","--","Nej","00:00:08.4","30","--","--","--","00:43:22","01:04:33","--","--"
Löpning,2026-02-05 15:04:53,false,"Göteborg Löpning","17.39","1,185","01:29:04","150","181","3.7","167","180","5:07","3:26","353","351","1.17","8.1","9.5","261","4:58","347","0.0","334","524","--","--","--","14,946","-15","Nej","01:29:04","1","--","--","--","01:28:21","01:29:04","-9","87"
Löpning,2026-02-04 18:15:18,false,"Göteborg Löpning","7.06","477","00:42:54","135","183","2.6","127","183","6:05","3:39","183","136","1.27","8.1","10.0","264","5:43","369","0.0","281","691","--","--","--","5,600","-6","Nej","00:42:54","1","--","--","--","00:36:08","00:42:54","-40","64"
Löpning,2026-02-04 17:01:57,false,"Göteborg Löpning","9.91","653","00:54:08","133","175","2.7","162","179","5:28","3:39","184","128","1.13","8.5","9.6","270","5:12","339","0.0","320","626","--","--","--","8,892","-10","Nej","00:54:08","1","--","--","--","00:53:36","00:54:08","-5","61"
Löpning,2026-02-03 17:58:35,false,"Göteborg Löpning","18.15","1,235","01:38:48","148","198","4.4","148","196","5:27","2:38","346","331","1.23","8.1","9.5","264","5:16","386","0.0","311","674","--","--","--","15,016","-20","Nej","00:00:55.0","15","--","--","--","01:33:05","01:38:48","-1","60"
Löpning,2026-02-02 17:25:33,false,"Göteborg Löpning","19.27","1,322","02:10:22","122","176","3.3","134","192","6:46","3:24","464","346","1.09","8.5","9.2","273","6:17","330","0.0","260","745","--","--","--","17,884","-24","Nej","02:10:22","1","--","--","--","01:51:55","02:19:48","-23","98"
Löpning,2026-02-01 14:17:19,false,"Göteborg Löpning","8.21","614","01:03:57","128","188","2.7","108","183","7:47","3:12","222","248","1.19","8.4","9.7","273","7:16","345","0.0","233","759","--","--","--","7,102","-10","Nej","01:03:57","1","--","--","--","00:45:23","01:03:57","-58","64"
Löpband,2026-02-01 12:34:39,false,"Löpband","3.18","520","00:41:41","147","186","3.0","113","240","13:06","3:33","--","--","0.87","9.4","7.8","286","--","168","0.0","112","399","--","--","--","5,060","-10","Nej","00:02:23.8","4","--","--","--","00:22:51","00:41:41","--","--"
