Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Totalt antal repetitioner,Totalt antal set,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Styrketräning,2026-03-03 20:32:21,false,"Strength","0.00","202","00:25:14","112","157","1.0","--","--","--","--","--","--","--","0.0","78","39","5","Nej","00:25:14","1","00:16:42","00:25:14","--","--"
Löpband,2026-03-03 19:52:29,false,"Löpband","3.61","310","00:20:08","149","174","2.7","170","180","5:35","3:24","--","--","1.34","0.0","3,404","--","--","Nej","00:02:15.4","5","00:19:55","00:20:08","--","--"
Löpning,2026-03-01 14:06:27,false,"Göteborg Löpning","15.20","1,226","01:22:05","151","169","3.8","168","184","5:24","4:30","209","208","1.10","0.0","13,850","--","--","Nej","00:01:09.2","16","01:21:44","01:22:18","9","89"
Löpband,2026-02-28 10:24:01,false,"Löpband","6.38","477","00:31:25","152","190","2.9","152","195","4:55","3:48","--","--","1.12","0.0","3,496","--","--","Nej","00:02:06.2","6","00:26:11","00:40:59","--","--"
Löpband,2026-02-26 16:12:00,false,"Löpband","6.70","526","00:32:58","158","190","3.5","161","200","4:55","4:19","--","--","1.10","0.0","5,228","--","--","Nej","00:00:47.3","12","00:29:13","00:34:48","--","--"
Löpband,2026-02-24 19:21:25,false,"Löpband","7.30","635","00:44:52","146","183","3.1","164","270","6:09","3:23","--","--","1.05","0.0","7,178","--","--","Nej","00:04:34.6","8","00:41:42","00:44:52","--","--"
Löpband,2026-02-22 20:17:40,false,"Löpband","8.25","694","00:42:01","159","169","3.7","173","180","5:06","4:20","--","--","1.11","0.0","7,026","--","--","Nej","00:00:32.1","9","00:41:46","00:42:11","--","--"
Löpband,2026-02-17 18:56:35,false,"Löpband","8.60","683","00:51:33","142","177","2.8","164","194","6:00","3:04","--","--","1.29","0.0","8,414","--","--","Nej","00:04:29.0","11","00:49:03","00:53:26","--","--"
Löpning,2026-02-15 19:23:23,false,"Göteborg Löpning","10.72","868","00:50:40","165","188","4.4","171","187","4:44","2:52","116","109","1.23","0.0","8,650","--","--","Nej","00:03:11.8","11","00:50:34","00:50:42","4","96"
Löpband,2026-02-13 17:43:22,false,"Löpband","7.04","537","00:31:51","162","182","3.5","171","182","4:32","3:50","--","--","1.29","0.0","5,430","--","--","Nej","00:00:09.8","8","00:31:41","00:31:51","--","--"
Löpband,2026-02-11 21:46:28,false,"Löpband","11.30","982","00:59:52","165","193","4.8","145","240","5:18","3:18","--","--","1.08","0.0","8,556","--","--","Nej","00:00:54.6","20","00:48:06","01:01:18","--","--"
Löpband,2026-02-09 18:54:50,false,"Löpband","8.50","548","00:45:53","136","180","2.5","159","192","5:24","2:46","--","--","1.28","0.0","7,294","--","--","Nej","00:01:41.9","10","00:42:47","00:47:29","--","--"
Löpband,2026-02-06 17:52:12,false,"Löpband","9.45","728","00:47:31","156","195","3.6","152","240","5:02","2:47","--","--","1.24","0.0","6,802","--","--","Nej","00:04:28.2","9","00:39:57","00:54:52","--","--"
Styrketräning,2026-02-02 22:17:21,false,"Strength","0.00","168","00:28:20","98","139","0.3","--","--","--","--","--","--","--","0.0","50","25","3","Nej","00:28:20","1","00:05:16.7","00:28:20","--","--"
Löpband,2026-02-02 21:38:50,false,"Löpband","6.13","495","00:30:20","156","168","3.2","170","176","4:57","4:20","--","--","1.17","0.0","5,136","--","--","Nej","00:00:16.5","7","00:30:15","00:30:33","--","--"
Löpning,2026-02-01 13:15:12,false,"Göteborg Löpning","13.64","1,142","01:14:12","151","164","3.7","168","184","5:26","4:11","176","164","1.10","0.0","12,468","--","--","Nej","00:03:30.5","14","01:13:25","01:15:20","4","97"
Löpband,2026-01-30 17:58:20,false,"Löpband","7.50","603","00:44:48","143","176","2.6","167","240","5:58","3:09","--","--","1.08","0.0","7,454","--","--","Nej","00:00:26.8","9","00:44:20","00:45:01","--","--"
Styrketräning,2026-01-27 21:09:33,false,"Strength","0.00","141","00:19:16","106","143","0.4","--","--","--","--","--","--","--","0.0","62","31","3","Nej","00:19:16","1","00:07:25.1","00:19:16","--","--"
Löpband,2026-01-27 20:30:02,false,"Löpband","5.12","414","00:30:11","143","163","2.4","169","176","5:54","4:50","--","--","1.01","0.0","5,080","--","--","Nej","00:00:43.2","6","00:29:58","00:30:11","--","--"
Löpband,2026-01-26 22:01:47,false,"Löpband","9.00","727","00:45:01","161","191","4.0","160","240","5:00","4:21","--","--","1.12","0.0","7,148","--","--","Nej","00:01:00","12","00:41:52","00:50:12","--","--"
Löpband,2026-01-24 13:04:25,false,"Löpband","14.00","1,203","01:17:32","156","188","4.2","169","180","5:32","4:07","--","--","1.13","0.0","13,106","--","--","Nej","00:04:25.1","15","01:17:08","01:18:03","--","--"
Löpband,2026-01-21 19:25:34,false,"Löpband","7.00","579","00:41:50","148","185","3.0","163","174","5:59","4:27","--","--","1.17","0.0","6,850","--","--","Nej","00:04:50.4","8","00:41:04","00:41:50","--","--"
Löpning,2026-01-19 20:53:46,false,"Göteborg Löpning","10.65","890","00:52:25","164","191","4.4","167","175","4:55","3:55","113","113","1.21","0.0","8,784","--","--","Nej","00:03:00.1","11","00:52:13","00:54:15","3","98"
Löpning,2026-01-16 15:08:02,false,"Göteborg Löpning","10.70","945","01:01:28","153","182","3.6","165","179","5:45","3:28","124","122","1.05","0.0","10,156","--","--","Nej","00:04:08.3","11","01:01:25","01:01:31","4","97"
Löpband,2026-01-14 21:32:07,false,"Löpband","7.50","597","00:36:41","160","188","3.7","171","180","4:54","4:24","--","--","1.16","0.0","6,222","--","--","Nej","00:01:38.0","8","00:36:28","00:36:41","--","--"
