Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-02-27 15:05:08,false,"Göteborg Löpning","5.00","490","00:34:38","168","187","3.2","169","180","6:56","5:40","58","80","0.85","8.2","7.1","287","47.3% vänster/52.7% höger","0.0","5,750","Nej","00:00:01.2","6","00:34:38","00:34:38","44","91"
Löpning,2026-02-20 14:07:28,false,"Göteborg Löpning","9.64","977","01:08:10","171","190","3.8","168","216","7:04","4:47","181","176","0.83","7.6","6.4","291","48.5% vänster/51.5% höger","0.0","11,228","Nej","00:03:32.5","10","01:07:37","01:09:17","17","119"
Löpning,2026-02-18 17:14:59,false,"Mölndal Löpning","10.01","963","01:08:28","167","184","3.6","173","181","6:51","5:23","82","71","0.84","7.3","6.3","279","47.8% vänster/52.2% höger","0.0","11,730","Nej","00:00:03.8","11","01:08:25","01:08:28","7","63"
Löpning,2026-02-16 18:06:14,false,"Göteborg Löpning","5.01","476","00:34:35","161","178","3.0","174","185","6:54","4:53","59","72","0.82","7.2","6.1","280","47.2% vänster/52.8% höger","0.0","5,912","Nej","00:00:03.5","6","00:34:10","00:34:35","44","90"
Löpning,2026-02-13 11:07:46,false,"Göteborg Löpning","10.16","1,060","01:12:02","174","196","4.1","168","240","7:05","5:31","179","194","0.83","7.7","6.5","290","48.1% vänster/51.9% höger","0.0","11,926","Nej","00:01:04.7","11","01:11:06","01:12:49","42","97"
Löpning,2026-02-11 10:38:32,false,"Göteborg Löpning","8.00","796","00:53:32","180","194","3.8","175","209","6:41","5:44","90","95","0.85","7.3","6.4","275","47.5% vänster/52.5% höger","0.0","9,248","Nej","00:00:00.7","9","00:53:13","00:53:32","20","68"
Löpning,2026-02-09 17:51:40,false,"Göteborg Löpning","3.01","287","00:18:41","166","183","3.0","177","184","6:13","5:52","27","28","0.90","7.8","7.2","268","48.3% vänster/51.7% höger","0.0","3,268","Nej","00:00:02.5","4","00:18:41","00:18:41","50","66"
Löpning,2026-02-06 14:49:06,false,"Göteborg Löpning","0.40","39","00:02:44.1","175","184","0.8","179","196","6:49","4:18","11","20","0.79","7.4","6.0","284","48.0% vänster/52.0% höger","0.0","478","Nej","00:02:44.1","1","00:02:44","00:02:44.1","50","72"
Löpning,2026-02-06 13:20:24,false,"Göteborg Löpning","9.60","1,029","01:11:40","172","194","4.1","170","244","7:28","4:59","177","180","0.79","7.7","6.1","299","48.4% vänster/51.6% höger","0.0","12,018","Nej","00:04:23.0","10","01:11:13","01:11:40","5","79"
Löpning,2026-02-03 18:11:27,false,"Göteborg Löpning","4.50","435","00:31:36","160","180","3.2","171","181","7:01","5:51","60","63","0.83","8.0","6.7","280","47.6% vänster/52.4% höger","0.0","5,332","Nej","00:03:32.9","5","00:31:34","00:31:36","21","72"
Löpning,2026-02-02 19:52:51,false,"Göteborg Löpning","4.06","391","00:27:50","157","173","3.1","174","188","6:51","5:49","61","61","0.85","7.7","6.6","275","47.8% vänster/52.2% höger","0.0","4,786","Nej","00:00:27.7","5","00:27:49","00:27:50","47","91"
Löpning,2026-01-30 14:41:59,false,"Göteborg Löpning","8.53","865","00:56:59","175","197","4.8","167","197","6:41","3:57","141","163","0.88","7.9","7.0","288","47.8% vänster/52.2% höger","0.0","9,384","Nej","00:03:59.4","9","00:56:31","00:56:59","18","79"
Löpning,2026-01-28 14:46:34,false,"Göteborg Löpning","5.27","509","00:33:29","171","188","4.0","167","181","6:22","5:05","37","60","0.88","8.1","7.2","288","47.7% vänster/52.3% höger","0.0","5,500","Nej","00:01:39.4","6","00:33:11","00:33:29","50","100"
Löpning,2026-01-26 10:32:08,false,"Göteborg Löpning","5.01","511","00:33:23","180","200","3.8","170","194","6:39","5:44","55","63","0.88","7.4","6.7","280","48.5% vänster/51.5% höger","0.0","5,570","Nej","00:00:05.9","6","00:33:04","00:33:23","21","65"
Löpning,2026-01-22 11:01:44,false,"Göteborg Löpning","5.01","471","00:35:30","155","177","3.1","170","186","7:05","1:34","89","76","0.82","7.1","5.9","288","48.3% vänster/51.8% höger","0.0","5,988","Nej","00:00:01.5","6","00:35:28","00:35:30","50","92"
Löpband,2026-01-19 20:04:05,false,"Löpband","3.00","332","00:21:59","165","171","3.2","170","176","7:20","6:40","--","--","0.82","7.2","6.0","268","49.0% vänster/51.0% höger","0.0","3,700","Nej","00:21:59","1","00:21:59","00:21:59","--","--"
Löpning,2026-01-15 17:44:49,false,"Göteborg Löpning","7.54","753","00:54:33","168","187","3.5","171","180","7:14","5:18","104","118","0.81","7.0","5.8","297","48.2% vänster/51.8% höger","0.0","9,184","Nej","00:03:51.7","8","00:54:32","00:55:29","43","100"
Löpning,2026-01-11 17:09:36,false,"Göteborg Löpning","4.01","403","00:26:49","170","183","3.2","178","187","6:42","5:35","49","66","0.84","6.8","5.8","279","47.6% vänster/52.4% höger","0.0","4,712","Nej","00:00:02.0","5","00:26:47","00:26:49","43","88"
Löpning,2026-01-08 15:57:33,false,"Göteborg Löpning","5.00","508","00:37:12","171","187","3.0","173","180","7:27","6:19","73","76","0.77","7.4","5.8","299","47.8% vänster/52.2% höger","0.0","6,368","Nej","00:06:47.5","5","00:37:11","00:37:12","50","79"
